,Season,No. overall,No. in season,Title,Directed by,Written by,Original air date,Us viewers (millions),Description,Final diagnosis
10,1,11,11,Detox,Nelson McCormick,Lawrence Kaplow & Thomas L. Moran,2005-02-15,14.22,"While trying to figure out why a young patientwill not stop bleeding after getting into a car wreck with his girlfriend, House accepts Cuddy's challenge and goes off Vicodin for a week in exchange for no clinic duty for a month. As House's withdrawal symptoms become severe, his methodology for his patient is more harsh and risky, and Foreman and Cameron are afraid he may not be thinking clearly enough in order to save the patient's life. House does solve the case though by exhuming the family's recently deceased cat and performing an autopsy on it. He finds high doses of napthalene, which is excreted by termites as a repellent. The patient has been exposed to the poisonous vapors due to a termite nest behind the walls of his bedroom.",Naphthalene poisoning
11,1,12,12,Sports Medicine,Keith Gordon,John Mankiewicz & David Shore,2005-02-22,15.53,"A severely broken arm reveals a bizarre case of bone loss and ends the comeback plans of major league pitcher Hank Wiggen. House suspects Hank – with a history of drug abuse – is lying about using steroids, as his condition worsens. When Hank's kidneys start to fail, his wifeoffers to donate hers, but she will have to abort her early pregnancy, something Hank does not want. Eventually House finds out the wife suffers from loss of smell, indicating the pair have smoked cannabis which was grown on cadmium polluted soil. Meanwhile, Foreman dates a pharmaceutical representative and House goes to a monster truck rally with Cameron.",Cadmium poisoning
12,1,13,13,Cursed,Daniel Sackheim,Matt Witten & Peter Blake,2005-03-01,15.53,"After consulting a Ouija board, a young boybelieves he is going to die, and is sent to Princeton-Plainsboro after suffering from pneumonia. Meanwhile, Chase's estranged fathercomes to the hospital and helps House and his team diagnose the kid. Suspicious of Chase's father's seemingly random visit, House questions him and he reveals that he has terminal cancer. Chase and his father briefly reconcile before his father departs by taxi for the airport.",Anthrax and leprosy
13,1,14,14,Control,Randy Zisk,Lawrence Kaplow,2005-03-15,17.33,"Billionaire entrepreneur Edward Voglerdonates $100 million to Princeton-Plainsboro, officially becoming the new Chairman of the Board. Vogler intends to turn the clinic into a profitable venue for his biotech venture and also plans to eliminate House's financially draining department for good. Meanwhile, a businesswomanhas it all – perfect life, perfect body, perfect job – until she finds herself inexplicably paralyzed. When he diagnoses her condition, House must risk his job and his medical license to save her.",Congestive heart failure onset by bulimia and regular use of ipecac
14,1,15,15,Mob Rules,Tim Hunter,David Foster & John Mankiewicz,2005-03-22,17.34,"House is placed under a court order to determine what is ailing a mobsterdue for federal testimony and the Witness Protection Program. The witness' brother, a lawyer, works against the team and the testimony when his brother is diagnosed with Hepatitis C. Cuddy continues to battle Vogler over House's importance to the hospital.",Ornithine transcarbamylase deficiency
15,1,16,16,Heavy,Fred Gerber,Thomas L. Moran,2005-03-29,18.28,"House and his team investigate an overweight ten-year-old girlwho has a heart attack and her motherinsists that House and his team look past her weight to find the diagnosis. Adding to his stress, Vogler demands House get rid of a member of his team. It is revealed that Chase has been feeding Vogler information about House's cases. When House tells Cuddy and Vogler he chooses to fire Chase, Vogler rebuffs him and tells him to choose Foreman or Cameron instead.",Cushing's disease
16,1,17,17,Role Model,Peter O'Fallon,Matt Witten,2005-04-12,15.04,"A popular U.S. senatorand presidential candidate succumbs to illness at a fundraiser and Vogler assigns House to his case. He also tells House he can keep his whole team if he endorses Vogler's pharmaceutical company. The Senator's initial diagnosis seems to point to AIDS, but House digs deeper for another answer. Meanwhile, he also handles a case of a woman who apparently gets pregnant without having sex. House deduces that Chase is Vogler's mole. House insults Vogler and his company during the speech, reigniting their feud. Cameron leaves the team and quits.",Toxoplasmosis and delayed-onset CVID secondary to phenytoin-mediated Epstein-Barr virus infection.
17,1,18,18,Babies & Bathwater,Bill Johnson,Story by : Peter BlakeTeleplay by : Peter Blake & David Shore,2005-04-19,17.48,"House informs Chase and Foreman that Cameron quit. A pregnant woman arrives at the hospital with brain and kidney problems and House must contend with her condition and Vogler's eagerness to see the doctor removed by using the board members. The patient and her husband must decide between her life and their unborn child's, after the team discovers small cell lung cancer. Vogler proposes that the board to revoke House's tenure and fire him but Wilson opposes. Vogler then proposes the board remove Wilson, which they do, to which Wilson resigns. At the following meeting, Cuddy responds to Vogler's proposal by asserting that he too is out of control and the board members are subservient to his desires. Four other board members agree causing Vogler to leave as chairman and revoke his $100 million donation. The team celebrates Vogler's departure with champagne as Cuddy reminds House this conflict was unnecessary but caused by his temperament. At the clinic, a malnourished baby is presented to House with pneumonia. The parents are arrested and charged with child endangerment under the assumption it was caused by their and the baby's vegan diet. The charges are revoked after a CT scan reveals the baby has DiGeorge syndrome, causing the malnourishment.",LEMS secondary to small cell lung carcinoma
18,1,19,19,Kids,Deran Sarafian,Thomas L. Moran & Lawrence Kaplow,2005-05-03,17.14,"House fights off a meningitis outbreak and Cuddy gives his team an hour to produce results after he singles out a young patient who does not quite fit the criteria. House tries to get Cameron to return in the wake of Vogler's departure, but she demands House tell her why he really wants her back. House and Wilson interview potential replacements for Cameron's position. Cameron agrees to return in exchange for a dinner date with House.",Thrombotic thrombocytopenic purpura secondary to pregnancy
19,1,20,20,Love Hurts,Bryan Spicer,Sara B. Cooper,2005-05-10,18.8,"The hospital buzzes with rumors of House's upcoming date with Cameron. After House is harsh to an awaiting clinic patient, the man develops a mysterious stroke. At the same time, House also deals with an elderly couple whose overactive sex life is seemingly causing them problems.",Fulminating osteomyelitis
20,1,21,21,Three Stories,Paris Barclay,David Shore,2005-05-17,17.68,"House receives a visit from an ex-girlfriend, Stacy Warner, who seeks his help for her husband, Mark. In the meantime, Cuddy forces House to give a lecture to medical students on diagnosing patients and presents three scenarios, each with different reasons for their leg pain.","Streptococcal infection (farmer), osteosarcoma (volleyball player), Thigh muscle infarction (House) and lead paint poisoning (Professor Riley)"
21,1,22,22,Honeymoon,Frederick King Keller,Lawrence Kaplow & John Mankiewicz,2005-05-24,19.52,"House diagnoses Mark, Stacy Warner's husband. Although the tests do not indicate a condition and Mark claims to be fine outside of stomach pain, it appears his brain is dying. House finds abdominal epilepsy, but cannot detect any memory loss. After Mark begins developing paralysis, House decides to treat him for Guillain–Barré syndrome. After confiding in Stacy that he still has feelings for her, House realizes that Mark had experienced delusions, and actually suffered from acute intermittent porphyria. With support from Stacy, but not from his team, House gives Mark a dangerous drug cocktail to confirm that he really has AIP. Cuddy decides to hire Stacy as the hospital's lawyer.",Acute intermittent porphyria
22,2,23,1,Acceptance,Dan Attias,Russel Friend & Garrett Lerner,2005-09-13,15.91,"House is brought in for a consult on a Death Row inmatewith mysterious symptoms. Cameron feels the hospital's resources are better used to find a different diagnosis for a young cancer patient. House and Stacy try to establish a good work relationship, especially after he lies to her to secure the transfer of the inmate to the hospital. Wilson coaches Cameron as she struggles to inform the patient of the cancer diagnosis.",Methanol poisoning and pheochromocytoma (Clarence) and Lung cancer (Cindy)
23,2,24,2,Autopsy,Deran Sarafian,Lawrence Kaplow,2005-09-20,13.64,"A nine-year-old cancer patient is brought before House after she experiences hallucinations. House figures out a way to help her, but it will involve serious risk. They discover she has a tumor on her heart, but when it turns out to be benign, the team decides a clot may be navigating her body. House argues about the nature of the child’s bravery and whether it is a symptom of her illness with his team and Wilson.",Thrombosis
24,2,25,3,Humpty Dumpty,Dan Attias,Matt Witten,2005-09-27,13.37,"Cuddy feels responsible when her handyman falls off her roof then exhibits unusual symptoms. House's team amputates the handyman's hand to prevent the spread of infection, but when the other hand starts showing similar signs, they must seek out the source before it kills the patient. House ultimately realizes that it's psittacosis, a rare disease associated with exposure to birds, to which the team objects because he doesn't work with birds at any of his jobs. Ultimately, the team finds an illegal cockfight where he works on Saturday nights.",Endocarditis secondary to psittacosis
25,2,26,4,TB or Not TB,Peter O'Fallon,David Foster,2005-11-01,12.18,"A famous doctor, Sebastian Charles, falls ill when working in Africa, and is sent to House for treatment. Tensions mount when House refuses to believe he has tuberculosis, but everyone else believes so. Cameron takes a liking to Charles who asks her out. After Cameron administers a tuberculosis test against House’s wishes, Charles refuses additional tests or treatment. House insists tuberculosis cannot explain all of the symptoms and must persuade Charles to be treated.",Nesidioblastoma and tuberculosis
26,2,27,5,Daddy's Boy,Greg Yaitanes,Thomas L. Moran,2005-11-08,14.15,"A student who just graduated from Princeton experiences severe spasms at a graduation party. Meanwhile, House's parents drop by but he is reluctant to see them, igniting curiosity among the hospital staff.",Cavernous angioma and radiation poisoning
27,2,28,6,Spin,Fred Gerber,Sara Hess,2005-11-15,12.95,"A famous cyclist is brought to Princeton-Plainsboro after collapsing during a race. He is surprisingly honest about several illegal medications and techniques he applies to himself, but his sickness is not caused by any of these. House attends and is kicked out of a group therapy session after aggravating  Mark. Stacy tells House that she has been seeing a therapist herself in light of supporting Mark during his disability. House breaks into her therapist’s office to photocopy notes from Stacy’s sessions.",Air embolism and pure red cell aplasia secondary to a thymoma from myasthenia gravis
28,2,29,7,Hunting,Gloria Muzio,Liz Friedman,2005-11-22,14.72,"House is confronted by Kalvin, a gay man who demands treatment when other doctors diagnose him with AIDS, something he admits he does have. House begins making moves on Stacy using notes he stole from her therapist on her relationship with Mark. Stacy is angered after House reveals that he accessed the notes. Cameron is potentially exposed to HIV by contact with Kalvin’s blood and must have preventative treatment. She confiscates drugs from Kalvin’s bag to help diagnose him. Distressed by her potential exposure, Cameron takes some of the drugs after work. When Chase arrives at her home to console her, they end up sleeping together.",Echinococcosis
29,2,30,8,The Mistake,David Semel,Peter Blake,2005-11-29,14.91,"A lawsuit is brought against Chase and House for the death of a mother who comes in with stomach pain, by her brother. A disciplinary committee convenes to determine whether either of them is at fault. Stacy must question both of them to prepare for the hearing. Chase receives news that his father has died of lung cancer. The committee rules that Chase be suspended for one week. It also determines that House’s work be supervised by Foreman for one month as temporary head of the department.","Behçet's disease, then hepatitis C and hepatocellular carcinoma from a liver transplant"
30,2,31,9,Deception,Deran Sarafian,Michael R. Perry,2005-12-13,14.52,"Anicais at an OTB parlor where House observes her have a seizure. She is admitted to the hospital but Cameron wants her to be discharged when they discover she has Munchausen syndrome, however, House believes she has an underlying condition. House clashes with Foreman over the diagnosis. Cuddy toys with making Foreman the permanent department head.",Clostridium perfringens and Munchausen syndrome
31,2,32,10,Failure to Communicate,Jace Alexander,Doris Egan,2006-01-10,14.83,"While House and Stacy are in Baltimore, a famed journalistcollapses in his magazine company's office. While he acts nonchalantly after getting up, it becomes clear from his word-salad-inflected speech that he is suffering from aphasia. Cuddy and Foreman rely on House's insight over the phone. House and Stacy's flight is delayed so they spend more time together. They exchange a kiss but House gets distracted with deciphering the journalist's speech remotely.",Bipolar disorder and Cerebral malaria
32,2,33,11,Need to Know,David Semel,Pamela Davis,2006-02-07,22.24,"Cameron worries about the potential results of her HIV test and House basks in the afterglow of his kiss with Stacy, but Wilson tells him to keep a level head about things. House must dig through the life and lies of a busy housewife to find the true reason why she is showing signs of physical and mental degeneration. Stacy and House have sex, after which House gives Stacy an ultimatum: him or Mark. Foreman's responsibility as temporary department head ends and House regains control. Mark finds House and confesses concerns that he is losing Stacy. Cameron's follow-up HIV test returns negative. Stacy chooses House, but House rejects her based on their past history and dysfunction. Stacy then leaves Princeton-Plainsboro and departs with Mark.","Ritalin abuse, then hepatocellular adenoma caused by contraception"
33,2,34,12,Distractions,Dan Attias,Lawrence Kaplow,2006-02-14,19.2,"The team struggles to diagnose a teen suffering from spasms when severe burns following an accident make most of their usual diagnostic tests impossible. Meanwhile, House exacts revenge on a doctor who turned him in for cheating in medical school. House tests the doctor's migraine medicine on himself by self-inducing a migraine. Wilson accuses him of doing so only to take his mind off of Stacy. After solving the medical case, House hires a prostitute.",Serotonin syndrome
34,2,35,13,Skin Deep,Jim Hayman,Story by : Russel Friend & Garrett LernerTeleplay by : Russel Friend & Garrett Lerner & David Shore,2006-02-20,14.18,"House treats a teenage supermodel who suddenly passes out during a fashion show. When her toxicology screen shows heroin, she is treated for addiction; unfortunately, her symptoms continue after she is weaned off the drugs. Meanwhile, House fights off increasingly bad leg pain which Cuddy and Wilson suppose to be brought on by Stacy’s absence.",Pseudohermaphroditism (More specifically Complete androgen insensitivity syndrome) and testicular cancer
35,2,36,14,Sex Kills,David Semel,Matt Witten,2006-03-07,20.56,"House treats a man who unknowingly has a seizure and is in need of a new heart. He was admitted by his daughter Amy Errington. When the transplant committee votes ""no,"" House tries to get one from a dead woman whose organs have also been rejected by the committee. Wilson begins living with House after revealing that his third wife has been cheating on him.",Brucellosis (Henry) and Fitz-Hugh–Curtis syndrome secondary to gonorrhea (Laura)
36,2,37,15,Clueless,Deran Sarafian,Thomas L. Moran,2006-03-28,21.44,"When a man cannot breathe during sexual role playing with his wife, House questions the motives behind their marriage; Wilson's presence in his house begins to take a toll on him. At the clinic, House treats a husband and wife for herpes as they argue over who first contracted it. House erases a message left on his answering machine from Wilson's apartment hunt.",Gold sodium thiomalate poisoning
37,2,38,16,Safe,Félix Alcalá,Peter Blake,2006-04-04,22.71,"Melinda, a troubled teenager who is immuno-compromised as a result of medications she must take after a heart transplant, has a severe allergic reaction and goes into shock when her boyfriend visits her. Meanwhile, House and Wilson continue to work out the problems in their new living arrangement, initiating a prank war between the two.",Tick paralysis
38,2,39,17,All In,Fred Gerber,David Foster,2006-04-11,21.2,"The hospital is hosting an oncology benefit poker tournament when a six-year-old boy is brought in exhibiting symptoms identical to those of a patient House had twelve years ago. House is convinced the boy's case is identical and he can predict the course of the young patient's illness, which ended in the first patient's death.",Erdheim–Chester disease
39,2,40,18,Sleeping Dogs Lie,Greg Yaitanes,Sara Hess,2006-04-18,22.64,"A young woman's health becomes a question of ethics when she is unable to sleep for ten days. It is not until House discovers she will need a liver transplant that he also uncovers some vital information about her and her partner Max. Meanwhile, Cameron accuses Foreman of plagiarism when an article he authors appears remarkably similar to one of hers.",Bubonic plague
40,2,41,19,House vs. God,John F. Showalter,Doris Egan,2006-04-25,24.52,"House wants to call a 15-year-old faith healer's bluff, but when the boy is admitted into the hospital he seemingly causes a cancer patient's condition to go into remission. After being diagnosed, the boy refuses brain surgery, but when his condition worsens, House and his staff have to make a decision. Wilson begins sleeping with and living with one of his terminal cancer patients, Grace, who was encouraged by the faith healer.",Tuberous sclerosis and herpes encephalitis
41,2,42,20,Euphoria (Part 1),Deran Sarafian,Matthew V. Lewis,2006-05-02,22.71,"House is trying to cure a crooked cop who acts turbulent and laughs uncontrollably, but he and his team are unable to determine the cause. When Foreman starts showing similar symptoms to that of the ill cop, the situation soon becomes deadly serious for everyone involved.",Secondary legionellosis but no final diagnosis
42,2,43,21,Euphoria (Part 2),Deran Sarafian,Russel Friend & Garrett Lerner & David Shore,2006-05-03,17.16,"After the police officer dies, Foreman, fearing for his life, contacts his father who rushes to his son's side. Meanwhile, House and the rest of the team are still trying to save Foreman before the disease that killed the officer gets him too. House's team is not allowed to autopsy the officer's body by Cuddy, who is awaiting the evaluation from the CDC in three days. Foreman dreads treatment as his pain increases and a diagnosis eludes the team.",Induced legionellosis and primary amoebic meningoencephalitis secondary to infection by Naegleria fowleri
43,2,44,22,Forever,Daniel Sackheim,Liz Friedman,2006-05-09,24.29,"On his way out the door, a man vomits and decides to stay home from work, only to find his wife in the bathtub having a seizure and their newborn infant drowning. Chase transfers to the NICU to decompress from working in House's department. Wilson and Cuddy go on a date. Foreman's recovery changes how he relates to the rest of the team.","Pellagra, celiac disease and MALT lymphoma"
44,2,45,23,Who's Your Daddy?,Martha Mitchell,Story by : Charles M. Duncan & John MankiewiczTeleplay by : John Mankiewicz & Lawrence Kaplow,2006-05-16,22.38,"A 16-year-old Hurricane Katrina victim suffering from horrifying hallucinations is brought to House by a former bandmatewho recently discovered the girl is his daughter. Although House fears his friend is being scammed, he takes the case. As he works his way through the girl's lies in order to diagnose and treat her, he is forced to tell a few lies of his own.",Haemochromatosis and zygomycosis
45,2,46,24,No Reason,David Shore,Story by : Lawrence Kaplow & David ShoreTeleplay by : David Shore,2006-05-23,25.47,"When House and his team are working on the diagnosis of a man with a swollen tongue, the husband of a former patient walks into House's office and shoots him in the stomach. House continues to treat his patient from his ICU bed although the shooter, who was shot by hospital security and handcuffed to his bed, has become his roommate. When the after effects of the shooting begin to impact House, he starts to question his own ability to diagnose properly. As his patient's body deteriorates, House struggles through self-doubt and must trust his team to find a way to solve the case as well as trying to divide reality from fiction.",No diagnosis (hallucination by House)
46,3,47,1,Meaning,Deran Sarafian,Story by : Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by : Lawrence Kaplow & David Shore,2006-09-05,19.55,"House has recovered from his gunshot wounds and is back at work, taking on two cases simultaneously: Richard, paralyzed after brain cancer surgery eight years ago, who drove himself on his motorized wheelchair headfirst into a swimming pool, and Caren, a young woman paralyzed from the neck down after a yoga session. As House begins to diagnose and treat them, the team notices a distinct change in his attitude toward his patients.",Addison's disease caused by hypothalamic dysregulation from brain surgery (Richard) and Scurvy (Caren)
47,3,48,2,Cane and Able,Daniel Sackheim,Story by : Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by : Russel Friend & Garrett Lerner,2006-09-12,15.74,"Seven-year-old Clancy is admitted to the hospital with rectal bleeding, claiming alien abduction. The team runs tests, but when they get inconsistent and contradictory results from the same tests, in addition to finding a metal object in his neck, they are forced to give Clancy's testimony a little more credence. Amidst this, Cuddy and Wilson struggle with the fallout from the decision to not to tell House the truth about his last case, thinking he will learn some humility, and Cameron is outraged at their actions when she finds out about the patient. When a frustrated House gives up on the boy, Cuddy is forced to re-think her decision to hold back the truth.",Chimerism
48,3,49,3,Informed Consent,Laura Innes,David Foster,2006-09-19,13.67,"House's new patient is Ezra Powell, a renowned medical research pioneer who collapses in his lab. House puts Ezra through diagnostic rigors, but the team is unable to come up with a conclusive diagnosis and Ezra's health continues to deteriorate. Ezra ultimately demands the team help him end his life, but each member has divergent opinions on the morality of helping Ezra die, especially since the possibility of a cure is still in question. Meanwhile, Ali, the teenage daughter of a clinic patient, has developed a disturbing crush on House.",Congestive heart failure secondary to senile AA-type cardiac amyloidosis
49,3,50,4,Lines in the Sand,Newton Thomas Sigel,David Hoselton,2006-09-26,14.52,"House takes the case of Adam, a 10-year-old severely autistic boy, who screams loudly for no apparent reason. Cuddy makes a minor change to House's office and he refuses to use it until it is returned to its original state; thus, he finds himself wandering the hospital in need of a temporary office. Meanwhile, Alistill has a crush on House and is becoming a nuisance.",Baylisascaris procyonis (Adam) and Coccidioidomycosis (Ali)
50,3,51,5,Fools for Love,David Platt,Peter Blake,2006-10-31,14.18,"House takes the case of a young woman who is rushed to the hospital with problems breathing and severe stomach pain, after she and her husband are robbed. But when her husband collapses, the team believes the couple's illnesses are related. Meanwhile, clinic patient Michael Tritter causes problems for House.",Hereditary angioedema
51,3,52,6,Que Será Será,Deran Sarafian,Thomas L. Moran,2006-11-07,16.11,"A morbidly obese man is found in a coma after a fire accident and is admitted to Princeton-Plainsboro. Upon waking up, he demands to be discharged, refusing to be tested for any disease possibly caused by his weight.",Small cell lung carcinoma
52,3,53,7,Son of Coma Guy,Dan Attias,Doris Egan,2006-11-14,14.6,"House decides to awaken a comatose patient so he can question the man regarding the family history of his son, who may have a genetic condition, and the father is the only living relative. Meanwhile, Wilson confronts House about the stolen prescription as Tritter approaches Cameron, Chase, and Foreman in an attempt to divide the team and reveal their loyalties.",MERRF syndrome
53,3,54,8,Whac-A-Mole,Daniel Sackheim,Pamela Davis,2006-11-21,15.2,"House's newest patient is 18-year-old Jack, brought to the hospital after experiencing a heart attack and massive vomiting. Jack has been the sole parent to his younger brother and sister since their parents died. After a brief review of his file, House thinks he has got the diagnosis, seals it in an envelope and turns the process into a game, challenging Cameron, Foreman and Chase to figure it out on their own. Meanwhile, in an attempt to extract a confession, Tritter makes it impossible for Wilson to practice medicine, driving a wedge between the two friends.",Chronic granulomatous disease
54,3,55,9,Finding Judas,Deran Sarafian,Sara Hess,2006-11-28,17.3,"House and the team take on the case of Alice, a young girl with pancreatitis. Since her divorced parents cannot agree on how to proceed with her treatment and will not let House bully them into making a decision, House's only option is to take them to court and let a judge rule on the matter. Meanwhile, House's reduced access to Vicodin is beginning to take its toll and he asks Cuddy for more, but instead of writing a prescription, she strictly rations his pills. ",Erythropoietic protoporphyria
55,3,56,10,Merry Little Christmas,Tony To,Liz Friedman,2006-12-12,11.77,"It is Christmas at Princeton-Plainsboro and Wilson has a present for House: he and Detective Tritter have struck a deal and House has three days to accept it. Cuddy receives a patient afflicted with dwarfism, who has a variety of symptoms and is recovering from a recently collapsed lung. Cuddy is eventually forced to make a difficult and potentially life-threatening choice between her patient and House's well-being.",Langerhans cell histiocytosis
56,3,57,11,Words and Deeds,Daniel Sackheim,Leonard Dick,2007-01-09,17.78,"House is forced to respond in court to the criminal charges against him regarding illegal possession of narcotics, and the judge sets a date for a preliminary hearing. Cuddy insists that House apologize to Tritter; meanwhile, the most recent case at the hospital is a firefighter suffering from disorientation and fluctuating body temperatures. Because of misinterpreted information, the firefighter is eventually forced to make a decision to undergo a radical brain treatment which will have a serious effect on his life. His brothertakes care of him.  ",Spinal meningioma
